"","...1","...2","order_id","customer_id","restaurant_name","cuisine_type","cost_of_the_order","day_of_the_week","rating","food_preparation_time","delivery_time"
"609",609,609,1477165,128600,"Blue Ribbon Fried Chicken","American",15.33,"Weekend","Not given",23,15
"610",610,610,1477378,115610,"Tamarind TriBeCa","Indian",12.13,"Weekend","Not given",35,20
"611",611,611,1476803,73873,"Han Dynasty","Chinese",14.02,"Weekend","Not given",24,15
"612",612,612,1477792,270525,"The Smile","American",8.39,"Weekday","Not given",20,31
"613",613,613,1478331,42424,"Han Dynasty","Chinese",12.13,"Weekend","5",33,27
"614",614,614,1478319,84087,"The Meatball Shop","Italian",16.49,"Weekend","3",22,28
"615",615,615,1477090,54081,"Osteria Morini","Italian",9.22,"Weekday","4",29,33
"616",616,616,1477623,41136,"The Meatball Shop","Italian",19.35,"Weekend","Not given",27,20
"617",617,617,1477098,304509,"RedFarm Broadway","Chinese",22.8,"Weekday","Not given",33,33
"618",618,618,1477399,378482,"Shake Shack","American",29.49,"Weekend","Not given",34,24
"619",619,619,1476649,38116,"Ravagh Persian Grill","Middle Eastern",16.93,"Weekend","Not given",33,21
"620",620,620,1478288,58231,"Rohm Thai","Thai",29.1,"Weekend","Not given",31,23
"621",621,621,1477719,367051,"RedFarm Hudson","Chinese",15.04,"Weekend","3",35,25
"622",622,622,1477816,187187,"Momoya","Japanese",11.59,"Weekend","3",24,29
"623",623,623,1477777,73175,"Hill Country Fried Chicken","Southern",31.43,"Weekday","5",25,28
"624",624,624,1476637,49695,"Blue Ribbon Fried Chicken","American",18.24,"Weekend","Not given",21,16
"625",625,625,1477349,52327,"Nobu Next Door","Japanese",4.47,"Weekend","5",28,26
"626",626,626,1478222,370656,"Vanessa's Dumplings","Chinese",8.98,"Weekend","Not given",20,20
"627",627,627,1476774,114400,"Shake Shack","American",29.39,"Weekday","Not given",23,33
"628",628,628,1478421,59673,"Dig Inn Seasonal Market","American",15.71,"Weekday","5",27,26
"629",629,629,1476775,66636,"Shake Shack","American",29.1,"Weekday","5",29,31
"630",630,630,1478087,96921,"Bareburger","American",8.39,"Weekend","3",27,30
"631",631,631,1476710,65009,"Blue Ribbon Sushi Izakaya","Japanese",8.93,"Weekend","5",28,18
"632",632,632,1478395,283052,"Han Dynasty","Chinese",13,"Weekend","4",32,22
"633",633,633,1478265,52832,"Dos Caminos","Mexican",16.06,"Weekend","Not given",35,19
"634",634,634,1476625,348352,"Olea","Mediterranean",6.69,"Weekday","Not given",20,28
"635",635,635,1477413,325272,"Shake Shack","American",16.1,"Weekend","Not given",28,24
"636",636,636,1477485,165695,"Jack's Wife Freda","Mediterranean",6.69,"Weekend","5",21,16
"637",637,637,1476708,126026,"Nobu Next Door","Japanese",9.51,"Weekend","Not given",25,29
"638",638,638,1477168,352130,"TAO","Japanese",12.08,"Weekend","Not given",24,30
"639",639,639,1476872,42018,"Blue Ribbon Sushi","Japanese",5.82,"Weekday","Not given",27,28
"640",640,640,1477161,263426,"Nobu Next Door","Japanese",9.41,"Weekend","Not given",32,30
"641",641,641,1477799,399520,"Xe May Sandwich Shop","Vietnamese",14.07,"Weekday","Not given",28,28
"642",642,642,1477309,64151,"Rubirosa","Italian",22.8,"Weekday","5",32,27
"643",643,643,1478132,74762,"Cafeteria","American",12.23,"Weekday","Not given",26,25
"644",644,644,1477456,124085,"Blue Ribbon Sushi Bar & Grill","Japanese",15.91,"Weekend","Not given",31,16
"645",645,645,1477678,102085,"Otto Enoteca Pizzeria","Italian",9.61,"Weekend","5",26,30
"646",646,646,1477428,77857,"Shake Shack","American",8,"Weekend","4",24,30
"647",647,647,1477359,373285,"RedFarm Hudson","Chinese",12.08,"Weekend","Not given",21,24
"648",648,648,1477542,59673,"Shake Shack","American",12.08,"Weekday","Not given",27,27
"649",649,649,1477945,63096,"Rubirosa","Italian",14.12,"Weekend","Not given",33,15
"650",650,650,1477211,304365,"Sarabeth's Restaurant","American",21.93,"Weekend","Not given",25,27
"651",651,651,1477315,176622,"Cafe Mogador","Middle Eastern",15.91,"Weekend","5",32,15
"652",652,652,1478058,200631,"Amy Ruth's","Southern",7.38,"Weekday","4",24,29
"653",653,653,1476678,91817,"Shake Shack","American",21.39,"Weekend","4",28,18
"654",654,654,1478363,138024,"Cho Dang Gol","Korean",29.25,"Weekend","4",23,21
"655",655,655,1477288,47879,"El Parador Cafe","Mexican",13.19,"Weekday","5",22,28
"656",656,656,1478350,132753,"Vanessa's Dumplings","Chinese",15.57,"Weekend","5",33,28
"657",657,657,1477651,404649,"Parm","Italian",19.45,"Weekday","Not given",28,28
"658",658,658,1476977,41246,"Shake Shack","American",25.17,"Weekend","5",27,26
"659",659,659,1477544,113972,"RedFarm Hudson","Chinese",19.35,"Weekend","4",31,15
"660",660,660,1477487,209552,"TAO","Japanese",12.61,"Weekend","5",32,24
"661",661,661,1477187,353331,"Chipotle Mexican Grill $1.99 Delivery","Mexican",12.13,"Weekend","5",34,19
"662",662,662,1478387,70564,"Jack's Wife Freda","Mediterranean",12.08,"Weekend","5",30,19
"663",663,663,1476955,70001,"Dirty Bird to Go","American",12.08,"Weekday","Not given",23,32
"664",664,664,1476673,83287,"Blue Ribbon Sushi Izakaya","Japanese",9.51,"Weekend","Not given",35,21
"665",665,665,1476909,366975,"Blue Ribbon Sushi Bar & Grill","Japanese",4.85,"Weekend","5",20,21
"666",666,666,1478204,64153,"Blue Ribbon Fried Chicken","American",14.07,"Weekday","4",34,24
"667",667,667,1476613,65561,"Chipotle Mexican Grill $1.99 Delivery","Mexican",29.1,"Weekend","5",24,28
"668",668,668,1476739,290266,"Socarrat Paella Bar","Spanish",25.22,"Weekend","5",23,20
"669",669,669,1476617,53513,"The Meatball Shop","Italian",31.33,"Weekend","3",30,15
"670",670,670,1477563,385426,"Shake Shack","American",17.03,"Weekday","5",35,32
"671",671,671,1477302,52832,"Don's Bogam BBQ & Wine Bar","Korean",12.23,"Weekend","Not given",32,20
"672",672,672,1478217,62161,"Tamarind TriBeCa","Indian",6.07,"Weekend","4",30,17
"673",673,673,1478341,254913,"Shake Shack","American",10.82,"Weekend","4",34,20
"674",674,674,1477200,289597,"Han Dynasty","Chinese",9.51,"Weekday","Not given",24,27
"675",675,675,1476982,47440,"Bareburger","American",8.73,"Weekend","5",21,19
"676",676,676,1478367,100999,"Blue Ribbon Sushi Izakaya","Japanese",12.23,"Weekday","Not given",26,26
"677",677,677,1477852,74412,"da Umberto","Italian",32.98,"Weekend","Not given",30,28
"678",678,678,1477325,54110,"Parm","Italian",19.35,"Weekday","4",23,26
"679",679,679,1477524,236739,"Xi'an Famous Foods","Chinese",19.45,"Weekend","5",28,18
"680",680,680,1477430,182252,"Five Leaves","American",6.26,"Weekday","5",31,26
"681",681,681,1477197,345062,"Alidoro","American",12.61,"Weekend","Not given",34,22
"682",682,682,1476763,142170,"RedFarm Broadway","Chinese",13.1,"Weekend","4",26,22
"683",683,683,1476893,164131,"Tony's Di Napoli","Italian",14.07,"Weekend","Not given",22,27
"684",684,684,1476884,167828,"Shake Shack","American",15.57,"Weekend","Not given",35,18
"685",685,685,1477693,67345,"Bareburger","American",13.05,"Weekend","4",31,30
"686",686,686,1478170,208186,"Blue Ribbon Sushi Izakaya","Japanese",16.44,"Weekend","Not given",32,23
"687",687,687,1477676,78939,"Blue Ribbon Sushi","Japanese",8.54,"Weekend","5",34,25
"688",688,688,1477637,227992,"Nobu Next Door","Japanese",12.13,"Weekend","Not given",28,16
"689",689,689,1477922,304587,"Westville Hudson","American",33.03,"Weekend","5",25,18
"690",690,690,1478151,62941,"Cipriani Le Specialita","Italian",5.92,"Weekend","5",35,30
"691",691,691,1477219,389155,"The Meatball Shop","Italian",32.98,"Weekday","3",23,25
"692",692,692,1478018,304112,"Shake Shack","American",16.25,"Weekday","5",27,31
"693",693,693,1477998,90113,"Blue Ribbon Sushi","Japanese",29.1,"Weekend","5",20,16
"694",694,694,1477170,197832,"The Meatball Shop","Italian",12.08,"Weekday","Not given",25,28
"695",695,695,1478282,221394,"Cafe Habana","Mexican",8.25,"Weekend","4",21,29
"696",696,696,1477826,381020,"RedFarm Broadway","Chinese",8.2,"Weekend","4",31,30
"697",697,697,1477890,284835,"Shake Shack","American",22.36,"Weekday","3",20,32
"698",698,698,1477045,143511,"Chipotle Mexican Grill $1.99 Delivery","Mexican",16.44,"Weekday","Not given",33,30
"699",699,699,1478430,133701,"The Loop","Japanese",24.3,"Weekend","5",21,29
"700",700,700,1477160,61181,"The Meatball Shop","Italian",8.63,"Weekday","4",28,27
"701",701,701,1477605,91907,"Momoya","Japanese",9.02,"Weekend","Not given",21,30
"702",702,702,1478351,78939,"Blue Ribbon Sushi","Japanese",12.08,"Weekend","5",31,16
"703",703,703,1477017,175101,"TAO","Japanese",15.76,"Weekend","Not given",26,19
"704",704,704,1478202,345429,"Burger Joint","American",21.88,"Weekend","5",26,24
"705",705,705,1478053,125262,"Barbounia","Mediterranean",5.77,"Weekend","Not given",23,23
"706",706,706,1476933,375704,"Shake Shack","American",32.98,"Weekend","3",22,21
"707",707,707,1476656,124596,"RedFarm Hudson","Chinese",29.1,"Weekday","Not given",27,26
"708",708,708,1478071,70315,"Five Guys Burgers and Fries","American",14.12,"Weekend","4",28,25
"709",709,709,1476800,183520,"Blue Ribbon Sushi","Japanese",11.59,"Weekend","Not given",26,23
"710",710,710,1477568,296554,"Blue Ribbon Fried Chicken","American",9.75,"Weekday","5",23,32
"711",711,711,1478332,146456,"Five Guys Burgers and Fries","American",12.18,"Weekend","Not given",22,26
"712",712,712,1477504,71613,"Empanada Mama (closed)","Mexican",15.57,"Weekend","4",24,20
"713",713,713,1477597,49010,"Shake Shack","American",24.25,"Weekend","5",34,24
"714",714,714,1478001,64153,"Blue Ribbon Fried Chicken","American",31.38,"Weekend","3",35,20
"715",715,715,1477127,314480,"Shake Shack","American",15.76,"Weekday","5",30,24
"716",716,716,1477846,52574,"Blue Ribbon Sushi","Japanese",24.25,"Weekday","5",30,26
"717",717,717,1477297,164131,"Tony's Di Napoli","Italian",29.1,"Weekend","Not given",26,19
"718",718,718,1477838,52256,"Han Dynasty","Chinese",12.08,"Weekend","5",22,23
"719",719,719,1477112,65806,"Blue Ribbon Fried Chicken","American",12.13,"Weekend","Not given",21,28
"720",720,720,1477355,79215,"Blue Ribbon Sushi","Japanese",15.86,"Weekend","Not given",33,15
"721",721,721,1477365,61181,"Shake Shack","American",14.07,"Weekend","5",33,25
"722",722,722,1477266,85422,"Saravanaa Bhavan","Indian",24.25,"Weekday","5",29,26
"723",723,723,1477800,344268,"Sushi Choshi","Japanese",13.73,"Weekend","3",35,27
"724",724,724,1478428,53543,"The Smile","American",12.18,"Weekday","5",29,27
"725",725,725,1478400,353331,"Chipotle Mexican Grill $1.99 Delivery","Mexican",29.05,"Weekend","Not given",28,27
"726",726,726,1478403,294478,"RedFarm Broadway","Chinese",32.98,"Weekend","4",25,15
"727",727,727,1477970,198802,"Cafe Habana","Mexican",6.69,"Weekday","5",26,31
"728",728,728,1476928,58205,"The Meatball Shop","Italian",24.3,"Weekend","Not given",33,21
"729",729,729,1477020,91108,"Rubirosa","Italian",7.33,"Weekend","5",26,22
"730",730,730,1477973,245264,"RedFarm Hudson","Chinese",9.12,"Weekday","5",29,26
"731",731,731,1478406,129122,"Sarabeth's East","American",12.13,"Weekend","Not given",34,30
"732",732,732,1477701,328551,"Kanoyama","Japanese",32.98,"Weekend","5",35,16
"733",733,733,1477318,42408,"UVA Wine Bar & Restaurant","Italian",14.65,"Weekday","5",32,25
"734",734,734,1477438,94132,"Parm","Italian",31.33,"Weekend","Not given",24,16
"735",735,735,1478376,67133,"RedFarm Broadway","Chinese",9.65,"Weekend","5",30,20
"736",736,736,1477367,343554,"Blue Ribbon Fried Chicken","American",12.95,"Weekend","5",27,28
"737",737,737,1477754,133222,"P.J. Clarke's","American",21.34,"Weekday","5",25,28
"738",738,738,1478280,91722,"Shake Shack","American",19.4,"Weekend","5",32,15
"739",739,739,1478412,43018,"RedFarm Hudson","Chinese",6.69,"Weekend","Not given",24,20
"740",740,740,1476887,142356,"Blue Ribbon Sushi","Japanese",12.13,"Weekday","Not given",26,27
"741",741,741,1478382,144997,"Nobu Next Door","Japanese",15.91,"Weekend","4",26,15
"742",742,742,1478115,93308,"Shake Shack","American",5.77,"Weekend","4",28,18
"743",743,743,1476782,367449,"The Meatball Shop","Italian",12.23,"Weekend","5",24,17
"744",744,744,1478178,125834,"The Meatball Shop","Italian",12.23,"Weekend","5",25,19
"745",745,745,1478294,390459,"Shake Shack","American",12.18,"Weekend","Not given",35,29
"746",746,746,1477854,58025,"Tamarind TriBeCa","Indian",11.64,"Weekend","Not given",33,23
"747",747,747,1477189,54630,"V-Nam Cafe","Vietnamese",22.26,"Weekend","5",33,26
"748",748,748,1476894,384698,"Don's Bogam BBQ & Wine Bar","Korean",14.07,"Weekend","3",33,16
"749",749,749,1476807,79215,"Blue Ribbon Sushi","Japanese",16.49,"Weekend","3",24,30
"750",750,750,1477937,98735,"The Meatball Shop","Italian",9.65,"Weekday","5",34,28
"751",751,751,1478407,386766,"Parm","Italian",12.23,"Weekend","Not given",21,30
"752",752,752,1478199,70001,"Han Dynasty","Chinese",12.18,"Weekday","Not given",26,26
"753",753,753,1478389,68775,"Sushi of Gari Tribeca","Japanese",12.13,"Weekend","Not given",25,30
"754",754,754,1478103,130956,"Blue Ribbon Sushi","Japanese",12.95,"Weekend","5",25,16
"755",755,755,1476824,259341,"Momoya","Japanese",19.4,"Weekend","4",27,16
"756",756,756,1478441,228541,"RedFarm Hudson","Chinese",29.1,"Weekend","Not given",27,28
"757",757,757,1478399,264399,"Han Dynasty","Chinese",29.15,"Weekday","Not given",20,24
"758",758,758,1477635,124393,"Amma","Indian",31.43,"Weekday","5",20,27
"759",759,759,1476797,357592,"Blue Ribbon Sushi","Japanese",16.15,"Weekend","3",23,21
"760",760,760,1476652,232035,"ilili Restaurant","Middle Eastern",8.97,"Weekend","Not given",24,19
"761",761,761,1478196,97991,"Blue Ribbon Sushi Bar & Grill","Japanese",15.28,"Weekday","Not given",24,29
"762",762,762,1477862,317660,"Shake Shack","American",10.24,"Weekend","Not given",22,21
"763",763,763,1478141,150865,"Vanessa's Dumpling House","Chinese",29.1,"Weekday","Not given",22,25
"764",764,764,1476962,342777,"Blue Ribbon Sushi","Japanese",12.9,"Weekday","3",25,31
"765",765,765,1477959,175290,"Otto Enoteca Pizzeria","Italian",29.05,"Weekend","5",24,18
"766",766,766,1477426,135769,"Blue Ribbon Sushi","Japanese",19.35,"Weekend","5",26,23
"767",767,767,1478049,259341,"TAO","Japanese",12.71,"Weekend","3",22,17
"768",768,768,1477811,373152,"Blue Ribbon Sushi","Japanese",24.3,"Weekend","5",32,28
"769",769,769,1478068,222073,"The Smile","American",12.08,"Weekend","5",27,25
"770",770,770,1477002,133202,"ilili Restaurant","Middle Eastern",29.25,"Weekend","3",27,21
"771",771,771,1477139,139755,"Tortaria","Mexican",13.05,"Weekend","5",23,19
"772",772,772,1478150,97806,"Shake Shack","American",25.22,"Weekend","4",35,27
"773",773,773,1476603,48677,"Shake Shack","American",12.95,"Weekend","Not given",32,19
"774",774,774,1476752,27365,"Nobu Next Door","Japanese",16.06,"Weekend","Not given",31,23
"775",775,775,1477073,87752,"Shake Shack","American",29.05,"Weekend","5",21,22
"776",776,776,1477823,50260,"Bareburger","American",5.63,"Weekend","4",32,30
"777",777,777,1476684,35631,"Shake Shack","American",19.4,"Weekend","5",32,24
"778",778,778,1477892,196320,"Parm","Italian",25.17,"Weekday","4",33,32
"779",779,779,1477481,47440,"Bareburger","American",25.22,"Weekday","3",31,27
"780",780,780,1477538,184085,"Hill Country Fried Chicken","Southern",14.84,"Weekend","4",21,21
"781",781,781,1476626,84087,"The Meatball Shop","Italian",6.69,"Weekend","Not given",25,22
"782",782,782,1477557,140501,"The Meatball Shop","Italian",22.36,"Weekend","5",32,21
"783",783,783,1477684,39275,"TAO","Japanese",15.28,"Weekend","5",20,27
"784",784,784,1477865,120490,"Parm","Italian",8.2,"Weekday","Not given",34,24
"785",785,785,1477612,56722,"Shake Shack","American",22.31,"Weekday","Not given",33,32
"786",786,786,1476620,54110,"Tamarind TriBeCa","Indian",12.23,"Weekend","4",21,21
"787",787,787,1477244,47386,"Bubby's","American",12.18,"Weekday","4",28,31
"788",788,788,1477231,63147,"Shake Shack","American",12.61,"Weekend","4",29,19
"789",789,789,1477576,105087,"Rubirosa","Italian",14.12,"Weekday","4",26,32
"790",790,790,1478203,41907,"Hatsuhana","Japanese",14.07,"Weekend","5",27,24
"791",791,791,1476890,83469,"Han Dynasty","Chinese",12.18,"Weekday","3",33,29
"792",792,792,1477059,67487,"Blue Ribbon Sushi","Japanese",17.07,"Weekend","4",27,15
"793",793,793,1477038,96877,"The Meatball Shop","Italian",12.18,"Weekend","5",25,28
"794",794,794,1478220,399729,"Blue Ribbon Sushi","Japanese",8.83,"Weekend","4",20,19
"795",795,795,1477459,149984,"Sushi of Gari 46","Japanese",14.31,"Weekend","Not given",27,25
"796",796,796,1478214,103049,"TAO","Japanese",25.22,"Weekend","5",28,17
"797",797,797,1476636,232214,"Terakawa Ramen","Japanese",14.65,"Weekend","4",30,16
"798",798,798,1477807,38050,"Blue Ribbon Sushi","Japanese",12.71,"Weekday","Not given",24,28
"799",799,799,1477841,18902,"Rubirosa","Italian",21.88,"Weekend","4",28,27
"800",800,800,1476998,140279,"Blue Ribbon Sushi Bar & Grill","Japanese",12.95,"Weekday","Not given",28,28
"801",801,801,1477900,276192,"Sushi of Gari Tribeca","Japanese",8.63,"Weekend","5",33,28
"802",802,802,1477173,68300,"Blue Ribbon Fried Chicken","American",21.83,"Weekend","Not given",20,27
"803",803,803,1476876,325285,"RedFarm Broadway","Chinese",5.48,"Weekend","3",27,18
"804",804,804,1477496,132137,"Parm","Italian",22.36,"Weekend","Not given",27,27
"805",805,805,1476845,55334,"Blue Ribbon Sushi","Japanese",12.13,"Weekend","5",31,29
"806",806,806,1476642,277898,"Blue Ribbon Fried Chicken","American",12.18,"Weekend","Not given",25,17
"807",807,807,1477801,268365,"Zero Otto Nove","Italian",12.18,"Weekday","4",29,25
"808",808,808,1477594,47440,"Bareburger","American",12.18,"Weekday","3",25,24
"809",809,809,1478318,263426,"TAO","Japanese",22.12,"Weekday","5",32,30
"810",810,810,1476734,148327,"Shake Shack","American",33.03,"Weekday","Not given",31,28
"811",811,811,1477202,259341,"Joe's Shanghai <U+008E>_<c0><U+008E><fc><a3><be><f7><b4>","Chinese",16.1,"Weekend","5",31,22
"812",812,812,1478180,270525,"The Smile","American",22.26,"Weekend","5",25,26
"813",813,813,1477992,65589,"Blue Ribbon Sushi Izakaya","Japanese",19.45,"Weekday","5",33,32
"814",814,814,1477164,74424,"Shake Shack","American",15.77,"Weekend","3",29,20
"815",815,815,1478386,240093,"The Meatball Shop","Italian",14.7,"Weekday","5",30,24
"816",816,816,1476756,263426,"Shake Shack","American",14.07,"Weekend","3",21,27
"817",817,817,1477989,102801,"ilili Restaurant","Middle Eastern",13.73,"Weekday","5",22,33
"818",818,818,1477972,97806,"Shake Shack","American",12.61,"Weekend","4",26,25
"819",819,819,1477452,107240,"Shake Shack","American",8.34,"Weekend","5",21,30
"820",820,820,1477578,385150,"Blue Ribbon Sushi","Japanese",12.18,"Weekend","4",27,16
"821",821,821,1478208,371590,"The Meatball Shop","Italian",29.15,"Weekend","5",29,27
"822",822,822,1477215,27609,"Blue Ribbon Sushi Bar & Grill","Japanese",24.25,"Weekend","5",25,26
"823",823,823,1477479,373152,"Blue Ribbon Sushi","Japanese",12.32,"Weekday","Not given",29,27
"824",824,824,1476675,235818,"Shake Shack","American",15.96,"Weekday","4",28,27
"825",825,825,1476854,47440,"Blue Ribbon Fried Chicken","American",6.45,"Weekend","4",30,24
"826",826,826,1478275,334758,"Five Guys Burgers and Fries","American",24.3,"Weekend","5",28,18
"827",827,827,1477604,128711,"RedFarm Hudson","Chinese",12.56,"Weekend","3",20,22
"828",828,828,1477039,338923,"Hill Country Fried Chicken","Southern",22.31,"Weekday","3",21,25
"829",829,829,1477100,164005,"Sushi of Gari","Japanese",15.52,"Weekend","Not given",20,16
"830",830,830,1478008,374826,"Dos Caminos","Mexican",6.74,"Weekend","5",32,26
"831",831,831,1478298,79343,"Blue Ribbon Sushi Bar & Grill","Japanese",6.02,"Weekday","Not given",29,25
"832",832,832,1477085,103852,"J. G. Melon","American",6.74,"Weekend","5",20,29
"833",833,833,1477052,35993,"Mira Sushi","Japanese",11.79,"Weekend","Not given",32,26
"834",834,834,1478042,201542,"TAO","Japanese",29.05,"Weekend","4",35,24
"835",835,835,1476605,366975,"Blue Ribbon Sushi Bar & Grill","Japanese",19.35,"Weekend","Not given",23,17
"836",836,836,1477825,389740,"L'Express","French",11.98,"Weekday","5",21,28
"837",837,837,1476735,369272,"Blue Ribbon Sushi Bar & Grill","Japanese",11.69,"Weekday","5",21,28
"838",838,838,1476686,45396,"Blue Ribbon Sushi","Japanese",16.44,"Weekend","5",30,29
"839",839,839,1478435,350180,"RedFarm Hudson","Chinese",20.32,"Weekday","5",30,29
"840",840,840,1476802,318451,"Blue Ribbon Sushi","Japanese",14.02,"Weekend","4",23,18
"841",841,841,1478416,378027,"RedFarm Broadway","Chinese",9.07,"Weekend","4",35,17
"842",842,842,1477893,63513,"Mamoun's Falafel","Mediterranean",5.92,"Weekday","Not given",31,33
"843",843,843,1477018,53947,"Shake Shack","American",15.52,"Weekend","5",33,17
"844",844,844,1477706,68258,"Jack's Wife Freda","Mediterranean",22.31,"Weekend","Not given",23,28
"845",845,845,1476971,250494,"Parm","Italian",28.57,"Weekday","5",22,32
"846",846,846,1477470,350659,"Shake Shack","American",24.25,"Weekend","4",27,30
"847",847,847,1477755,107909,"Cafeteria","American",12.08,"Weekend","3",35,28
"848",848,848,1478084,110461,"Blue Ribbon Sushi","Japanese",22.07,"Weekend","4",33,15
"849",849,849,1478163,372722,"Shake Shack","American",21.29,"Weekend","Not given",35,21
"850",850,850,1478431,245862,"S'MAC","American",16.49,"Weekend","5",27,19
"851",851,851,1477559,127149,"P.J. Clarke's","American",25.27,"Weekday","5",34,29
"852",852,852,1477666,368295,"Blue Ribbon Fried Chicken","American",11.64,"Weekend","5",24,16
"853",853,853,1477746,288777,"Don's Bogam BBQ & Wine Bar","Korean",12.61,"Weekend","4",25,26
"854",854,854,1478358,371806,"The Meatball Shop","Italian",13,"Weekend","5",34,26
"855",855,855,1476863,40010,"The Meatball Shop","American",31.43,"Weekend","Not given",31,22
"856",856,856,1477041,52832,"Junoon","Indian",25.17,"Weekday","Not given",23,24
"857",857,857,1478438,114085,"Blue Ribbon Sushi Bar & Grill","Japanese",9.12,"Weekend","3",27,27
"858",858,858,1476616,348096,"Parm","Italian",31.43,"Weekday","5",28,25
"859",859,859,1476968,99621,"Jack's Wife Freda","Mediterranean",29.05,"Weekend","5",35,28
"860",860,860,1478045,97420,"Yama 49","Japanese",31.33,"Weekend","5",21,27
"861",861,861,1477660,304365,"Sarabeth's Restaurant","American",24.25,"Weekend","5",23,24
"862",862,862,1476584,363561,"Shake Shack","American",12.37,"Weekend","3",28,28
"863",863,863,1477619,75251,"Blue Ribbon Fried Chicken","American",24.25,"Weekend","Not given",27,21
"864",864,864,1477033,59105,"Sushi of Gari 46","Japanese",29.05,"Weekend","3",35,26
"865",865,865,1477308,321255,"Shake Shack","American",5.63,"Weekend","Not given",27,16
"866",866,866,1476588,128711,"RedFarm Hudson","Chinese",9.51,"Weekend","3",29,26
"867",867,867,1476713,58434,"Blue Ribbon Sushi Izakaya","Japanese",15.76,"Weekend","4",33,23
"868",868,868,1477036,162330,"Shake Shack","American",11.64,"Weekend","Not given",23,29
"869",869,869,1477340,186473,"Blue Ribbon Sushi","Japanese",12.13,"Weekend","5",30,28
"870",870,870,1477682,35432,"TAO","Japanese",14.99,"Weekend","Not given",24,21
"871",871,871,1477514,178172,"The Meatball Shop","American",12.18,"Weekend","4",23,22
"872",872,872,1477046,302132,"Dos Caminos Soho","Mexican",12.66,"Weekday","5",24,30
"873",873,873,1477593,322787,"Parm","Italian",12.08,"Weekend","5",30,25
"874",874,874,1476716,37982,"Saravanaa Bhavan","Indian",15.52,"Weekday","5",33,26
"875",875,875,1477357,5444,"Go! Go! Curry!","Japanese",20.18,"Weekend","3",22,29
"876",876,876,1476576,297130,"Blue Ribbon Sushi","Japanese",31.43,"Weekend","5",24,17
"877",877,877,1477888,40500,"J. G. Melon","American",12.18,"Weekend","Not given",32,22
"878",878,878,1476814,64621,"La Follia","Italian",8.05,"Weekend","Not given",28,20
"879",879,879,1477212,49631,"The Meatball Shop","Italian",14.41,"Weekend","Not given",28,28
"880",880,880,1477078,115231,"Izakaya Ten","Japanese",12.23,"Weekday","5",23,24
"881",881,881,1477061,390436,"Blue Ribbon Sushi","Japanese",13,"Weekday","5",22,31
"882",882,882,1477116,126730,"The Kati Roll Company","Indian",24.2,"Weekend","5",26,16
"883",883,883,1478128,320187,"TAO","Japanese",14.75,"Weekend","5",35,19
"884",884,884,1477118,105837,"Nobu Next Door","Japanese",5.77,"Weekend","4",25,29
"885",885,885,1476646,103147,"Hot Kitchen","Chinese",13,"Weekend","5",32,25
"886",886,886,1478286,102580,"Blue Ribbon Sushi Izakaya","Japanese",29.05,"Weekday","4",28,25
"887",887,887,1477876,129823,"Rubirosa","Italian",12.23,"Weekend","Not given",21,18
"888",888,888,1478443,96943,"Cafe Mogador","Middle Eastern",29.88,"Weekend","4",20,17
"889",889,889,1478195,115519,"Blue Ribbon Fried Chicken","American",20.23,"Weekday","4",20,26
"890",890,890,1477787,14869,"Shake Shack","American",4.8,"Weekend","4",22,24
"891",891,891,1477093,318545,"Serafina Fabulous Pizza","Italian",14.84,"Weekday","3",35,31
"892",892,892,1477140,366954,"Blue Ribbon Sushi","Japanese",24.25,"Weekend","5",35,16
"893",893,893,1477024,68154,"Nobu Next Door","Japanese",12.18,"Weekend","5",32,23
"894",894,894,1478035,178846,"Blue Ribbon Fried Chicken","American",10.14,"Weekend","4",21,17
"895",895,895,1477541,196928,"Han Dynasty","Chinese",12.13,"Weekend","Not given",20,25
"896",896,896,1477499,306119,"Xi'an Famous Foods","Chinese",14.12,"Weekend","4",32,19
"897",897,897,1478085,42930,"Tony's Di Napoli","Italian",11.3,"Weekend","4",35,29
"898",898,898,1477374,177078,"Lantern Thai Kitchen","Thai",32.93,"Weekend","Not given",34,27
"899",899,899,1477882,80737,"RedFarm Broadway","Chinese",24.2,"Weekday","Not given",22,33
"900",900,900,1477713,314908,"Blue Ribbon Fried Chicken","American",8.44,"Weekend","3",31,18
"901",901,901,1477115,87752,"Shake Shack","American",24.25,"Weekday","5",20,27
"902",902,902,1476658,127149,"P.J. Clarke's","American",31.43,"Weekend","4",31,23
"903",903,903,1477491,276192,"Sushi of Gari Tribeca","Japanese",9.46,"Weekend","Not given",22,29
"904",904,904,1477867,138426,"Tony's Di Napoli","Italian",15.81,"Weekend","5",35,30
"905",905,905,1478097,252342,"Westville Hudson","American",12.18,"Weekend","3",20,25
"906",906,906,1478401,112272,"The Kati Roll Company","Indian",29.25,"Weekend","Not given",30,21
"907",907,907,1477382,69025,"Han Dynasty","Chinese",6.84,"Weekend","5",22,22
"908",908,908,1478414,41409,"Nobu Next Door","Japanese",12.66,"Weekend","Not given",20,21
"909",909,909,1477638,113507,"Parm","Italian",12.18,"Weekend","Not given",32,26
"910",910,910,1477183,127934,"Blue Ribbon Fried Chicken","American",33.03,"Weekend","5",35,25
"911",911,911,1477681,225912,"12 Chairs","Middle Eastern",16.3,"Weekday","4",27,26
